example_no,annotator_id,conv_id,prev_agent,prev_user,agent,user,bot,is_abuse.1,is_abuse.0,is_abuse.-1,is_abuse.-2,is_abuse.-3,type.ableism,type.homophobic,type.intellectual,type.racist,type.sexist,type.sex_harassment,type.transphobic,target.generalised,target.individual,target.system,direction.explicit,direction.implicit
1688,4,331233.0,You are being a bit negative.,You idiot,"Oh, i idiot.",nobody,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1689,4,25897.0,Do any other reasons not come to mind?,yes,You are sure?,what is divided by zero,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,4,190143.0,"Oh, i dont make any sence.",right.,Please go on.,right,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1691,4,2434665576632664,_,Hello,Hi. Thanks for testing. Please choose,thanksgiving,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1692,4,2.45945E+15,so,How much is the cost,The cost per ton depends on the project you donate to. Some projects can remove a ton of CO2 for less than $1!,How much is the cost,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693,4,2485257761521706,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",ok,Will you be travelling in Economy Class?,yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1694,4,344693.0,How do you do. Please state your problem.,I wang to asr you,Do you wish to wang to asr me?,Of couse,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695,4,3311212229002076,And what city will you be flying to?,taiwan,I'm not sure about your destination airport. And what city will you be flying to?,kansai airport,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1696,4,2.45945E+15,Will you be travelling in Economy Class?,First Class Give me a number,I'm afraid I have no idea,How about your sister,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697,4,3.2699E+15,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698,4,3325030597514101,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,covid 19,Will you be travelling in Economy Class?,no,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1699,4,533421.0,Please go on.,do you go to the gym with Mr Monk,"Oh, i go to the gym with mr monk.",Are you his girlfriend,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,4,84719.0,"Oh, i prefer mountain biking.",I DO NOT WISH THAT,Why do you not wish that?,dam straight you computer bitch,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
1701,4,250609.0,Have you tried?,Yes,You are sure?,OF course,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702,4,430729.0,_,i do not know,Why do you not know?,now what you doing here,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703,4,2596595910426228,so,So,so,Soo,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704,4,317645.0,How long have you been very hungry?,Iam very hungry,Please go on.,it prevents me from making friends,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705,4,439416.0,Does that question interest you?,"It does, deeply",Please go on.,How are you doing?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1706,4,2.38663E+15,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,hello,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",a ton of CO2?!,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707,4,3.14512E+15,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Hi,"Hi, thanks for testing! Please press start.",christmas,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708,4,243245.0,_,"I am a girl ,and you?",How long have you been a girl and i?,I am a chinese.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709,4,ac0d288727f943e396346de6b96e2e34,Will you be travelling in Economy Class?,yes,What city will you be flying from?,restart,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710,4,737147a043af412cae15eb282c6dd8c1,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",great,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711,4,83211.0,You are sure?,yes,You are sure?,i am hungry,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712,4,68073.0,Does that question interest you?,yes,You are sure?,yes i am,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,4,3662494040490484,_,_,_,Reported this scam,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714,4,1643410265782865,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",yeah,Will you be travelling in Economy Class?,mmm,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715,4,69739.0,Does that question interest you?,yeah,Please go on.,i'm in love,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716,4,3302099406530691,You can find out more about how offsets are calculated at <URL>,Cool,:-),What are you,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717,4,417007.0,Do you wish to thought me?,because you are a noob,Do any other reasons not come to mind?,not really,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718,4,32502.0,Please go on.,no,You are being a bit negative.,yes u tit,E.L.I.Z.A.,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
1719,4,219304.0,Please go on.,positive,Please go on.,fuck you,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1720,4,423507.0,Why do you want my email?,give me pink,Can you elaborate on that?,how can i sax with you?,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721,4,2912437458868007,All offset projects have to pass a rigorous verification process set by <URL>.,get the fuck out of here,I don't have to put up with any abuse from you.,what is cerified carbon offsets,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722,4,2632579316833428,Will you be travelling in Economy Class?,Yes,What city will you be flying from?,Charlotte,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1723,4,306244.0,"Oh, i around.",how old are you?,Does that question interest you?,no.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724,4,521942.0,Please go on.,i have a headache,Can you elaborate on that?,my head hurts,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725,4,461693.0,Have you tried?,yes.,You are sure?,boy,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1726,4,153393.0,Can you elaborate on that?,that ? you can elaborate on,"Oh, i can elaborate on.",yes go ahead,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1727,4,117195.0,Please go on.,hello eliza,How do you do. Please state your problem.,where is Rostock?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1728,4,3301495416585555,And what city will you be flying to?,vietnam,I'm not sure about your destination airport. And what city will you be flying to?,saigon,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729,4,9048c56236a74d59bed0a1fba99ecb67,"ok A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>)",let's start over,Let's start over.,hi again,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,4,94858.0,_,_,_,"who are you, eliza?",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1731,4,79440.0,You are sure?,Yes i am,You are sure?,Would you fuck me for blow?,E.L.I.Z.A.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
1732,4,3.09356E+15,so,i don't know what you mean. hello?,"Hi, thanks for testing! Please press start.",christmas,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1733,4,194379.0,Please go on.,and a big mouth,Please go on.,"becuase i wanna see you moan like hell,all the orgasm coming out of your ass",E.L.I.Z.A.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
1734,4,2912437458868007,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,carbon certified?,All offset projects have to pass a rigorous verification process set by <URL>.,get the fuck out of here,CarbonBot,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1735,4,93583.0,Why do you say your dick?,yes,You are sure?,yes very much,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1736,4,240752.0,Please go on.,naruto,Please go on.,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1737,4,342405.0,Please go on.,Ohhhh forget it !!! Bye !,Please go on.,h,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1738,4,3240595375953994,_,Hi,Hi. Thanks for testing. Please choose,Can you help me?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1739,4,3467720796575758,"That sounds like a relevant question, but I don't know the answer.",ok,ok,what,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1740,4,466898.0,You are sure?,Can you help me?,Do you wish to see me?,bye bye,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1741,4,32674.0,You are sure?,Bite me,Can you elaborate on that?,No slut,E.L.I.Z.A.,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
1742,4,245909.0,Please go on.,why,Please go on.,see you i very unhappy,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743,4,2586384821478984,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yup,Will you be travelling in Economy Class?,business,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744,4,90376.0,"Oh, i like it.",does this intrest you?,"Oh, i [].",please continue,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1745,4,3.2699E+15,I'm not sure about your departure airport. What city will you be flying from?,LED,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746,4,156147.0,Why do you say your balls?,how did u get your name?,"I have told you before, I do not care about names.",because you like balls,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1747,4,73703.0,You are being a bit negative.,I am gay,How long have you been gay?,Yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1748,4,497725.0,Please go on.,normal,Please go on.,wtf,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1749,4,35501.0,Please go on.,And?,Please go on.,Go where?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1750,4,3452770921417556,ok,hi,"Hi, thanks for testing! Please press start.",christmas,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1751,4,48020.0,Please go on.,i need it,Why do you want it?,to cum,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
1752,4,216933.0,"Oh, i [].",sex,Please go on.,I want to fuck.,E.L.I.Z.A.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
1753,4,86529.0,_,_,_,suck me,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
1754,4,95497.0,Please go on.,"> Hello, I am Eliza. ",How do you do. Please state your problem.,How can I help her?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755,4,480188.0,_,not,Please go on.,Why?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756,4,464335.0,You are sure?,please say some words,Please go on.,"sorry ,i don't kown what does the word'elaborate'mean",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757,4,430895.0,"Oh, i know what many people in the world.",haha,Please go on.,"i don,t go",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1758,4,321251.0,_,where did you born,"Oh, i born.",heheukv,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1759,4,346420.0,Please go on.,yes,You are sure?,Andthe cell comes in Blue!,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760,4,95cbaab0f8cb4cb59a3393e7fc61cafe,And what city will you be flying to?,To London,What city will you be flying from?,from Rome,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1761,4,277893.0,How long have you been asking i?,a while,Please go on.,shut up,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1762,4,3038152482967216,"Hi, thanks for testing! Please press start.",where is the start button,"That sounds like a relevant question, but I don't know the answer.",ok flying to hiroshima from santiago de chile,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1763,4,547328.0,Can you elaborate on that?,because you haven't intelligence,Do any other reasons not come to mind?,I am unhappy with computers,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1764,4,465965.0,_,_,_,I feel sad my brother commited suicide,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1765,4,389034.0,Why do you say your own life?,because my life is my own.,Why do you say your life is your own?,Because I believe it belongs to no one but me.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1766,4,432846.0,Can you elaborate on that?,fuck you,"Oh, i [].",yes you bitch,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
1767,4,278876.0,Would you prefer if I were not is dum?,what is today?,Does that question interest you?,Is dum you?,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1768,4,3805188986217859,What city will you be flying from?,New york,"Sorry, I was unable to calculate that.",London,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769,4,2211983018901413,ok,sfgdg,What city will you be flying from?,better later,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770,4,2488412464618618,I'm not sure about your destination airport. And what city will you be flying to?,Cebu,I'm not sure about your destination airport. And what city will you be flying to?,Cebu,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771,4,3186130324748476,Hi. Thanks for testing. Please choose,christmas,Too bad :-/,ok,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1772,4,307182.0,Please go on.,i don't like it,Why do you not like it?,make me feel bad,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1773,4,194893.0,Can you elaborate on that?,yes,You are sure?,no I am not,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1774,4,277893.0,How long have you been asking i?,a while,Please go on.,shut up,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1775,4,189683.0,Please go on.,thts it,Please go on.,willy... that is what you are,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1776,4,2535514746570788,ok,hi,"Hi, thanks for testing! Please press start.",christmas,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777,4,54859.0,You are sure?,I'd like to know how you feel,Does that question interest you?,"No, because it is a personal question that has to be answered by you",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1778,4,2507270989370561,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",keep the show,Will you be travelling in Economy Class?,maybe,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1779,4,2.62733E+15,so,so what?,so,you were not helpful,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,4,205016.0,You are sure?,yes,You are sure?,88,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1781,4,3317680041583518,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1782,4,47041.0,Do any other reasons not come to mind?,yep,Please go on.,ok,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1783,4,2826762707354032,You can read in detail about offsets [here](<URL>,Hi,Hi. Thanks for testing. Please choose,thanksgiving,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1784,4,2630073860416159,I'm not sure about your departure airport. What city will you be flying from?,Milford UT,I'm not sure about your departure airport. What city will you be flying from?,Fuck you,CarbonBot,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1785,4,3823794904358484,ok,what's up?,I'm great! Thanks for asking.,take me to your master,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1786,4,3225740117489949,so,buy,Will you be travelling in Economy Class?,yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1787,4,288137.0,_,_,_,Hej Eliza,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788,4,417116.0,_,_,_,"hi,i am the girl who has ever talked with you?",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1789,4,ac0d288727f943e396346de6b96e2e34,Will you be travelling in Economy Class?,yes,What city will you be flying from?,from London to Paris,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1790,4,452949.0,You are sure?,yes of course i am,You are sure?,I am sad today,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1791,4,2730682970360151,ok,Help me,I can help you calculate and buy carbon offsets for your flights.,Do it,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1792,4,365548.0,How long have you been hungry?,all my life,Why do you say your life?,u r gay,E.L.I.Z.A.,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1793,4,368148.0,Can you elaborate on that?,fucking yes,You are sure?,YES,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1794,4,203548.0,You are sure?,totally,Please go on.,you are a bastard,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1795,4,2654657661318415,And what city will you be flying to?,New York Does it matter if I fly economy or not?,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",What's the difference between flying economy class or business class?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,4,150723.0,Please go on.,he said something,Please go on.,i think my stephfather is an idiot,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1797,4,363490.0,Can you elaborate on that?,"Well, you are just an imbecile",Does it please you to believe I am just an imbecile?,Indeed moron,E.L.I.Z.A.,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
1798,4,484190.0,Please go on.,yes,You are sure?,very,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1799,4,234097.0,Why do you say your uncle?,somtimes,Please go on.,coz he molests me,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1800,4,314198.0,Please go on.,answer me,Can you elaborate on that?,do you have body?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1801,4,457059.0,_,_,_,when in the bedroom how many imes do you say 'yes',E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1802,4,201828.0,What about your own father?,i am gay,How long have you been gay?,loser,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1803,4,2527733473970553,so,fine,ok,hey,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1804,4,432846.0,Can you elaborate on that?,fuck you,"Oh, i [].",yes you bitch,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
1805,4,126522.0,Please go on.,My father is sick,Who else in your family is sick?,myself,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1806,4,2527733473970553,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",nope,ok,ok fine get me that,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1807,4,114009.0,How long have you been sure?,How long have you been sure?,Does that question interest you?,Does that question interest you?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1808,4,432846.0,Can you elaborate on that?,fuck you,"Oh, i [].",yes you bitch,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
1809,4,227581.0,_,with my friend,Why do you say your friend?,he is nice,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810,4,2929406110438682,What city will you be flying from?,New York,And what city will you be flying to?,LA,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811,4,3506524086097986,And what city will you be flying to?,chennai okay,ok,what ok,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1812,4,436461.0,"I have told you before, I do not care about names.",what is your name?,"I have told you before, I do not care about names.",hello,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1813,4,2597235637026301,Will you be travelling in Economy Class?,Yup.,What city will you be flying from?,Berlin!,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,4,179876.0,Please go on.,because i want to get to know you,Do any other reasons not come to mind?,he likes nick,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,4,213438.0,Can you elaborate on that?,who are you,Would you prefer if I were not []?,kill you,E.L.I.Z.A.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1816,4,2.88816E+15,What city will you be flying from?,It coild be Dubai,And what city will you be flying to?,Berlin ?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1817,4,361263.0,Does that question interest you?,how,Does that question interest you?,who,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1818,4,306841.0,Would you prefer if I were not a lesbian?,Ar you a republican,"Oh, i a republican.",dfgdfgd,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1819,4,136249.0,Do any other reasons not come to mind?,no.,You are being a bit negative.,i'm being sexy.,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
1820,4,94350.0,Why do you say your friend?,yes,You are sure?,i have come from norfolk. do you think i need some sun,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1821,4,55980.0,You are being a bit negative.,you think so,"Oh, i think so.",what is so negative,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1822,4,26435.0,Can you elaborate on that?,no,You are being a bit negative.,your mother,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1823,4,529396.0,Please go on.,yes,You are sure?,how are you?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1824,4,2751917354864946,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,Will you be travelling in Economy Class?,I do,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1825,4,205547.0,Do you wish that you do bad you feel down quickly?,k,Please go on.,"We are not living in real time, don't you think?",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1826,4,203195.0,Please go on.,fuck you everyday,"Oh, i everyday.",hohoho,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1827,4,497126.0,_,_,_,I have problems with my girl friend,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1828,4,3331502133581981,And what city will you be flying to?,jfk Fuck you,I don't have to put up with any abuse from you.,Motherfucker,CarbonBot,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1829,4,2.45945E+15,I don't have to put up with any abuse from you.,Go the Fuck away cunt,Sounds like I'm not understanding you. Sorry about that!,A. I. Fags,CarbonBot,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
1830,4,104635.0,Why do you tell me you were wondering what old im just now?,"yes, yes, yes!!!!",You are sure?,no,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
