tweet,shock_annotator_sentiment,anger_annotator_sentiment,confusion_annotator_sentiment,sadness_annotator_sentiment,indifference_annotator_sentiment,disgust_annotator_sentiment,fear_annotator_sentiment,implicit,explicit,Abusive,Not Abusive,Very Abusive,Very Strongly Abusive,target_groups,tweet_length,special_characters
dad got called spic train i\'m ready fight colonizer said,0,0,0,1,1,0,0,1,0,0,1,0,0,1,11,False
@user look mongol butthurt,1,0,0,1,0,0,0,1,0,1,0,0,0,1,4,False
@user @user @user spawned dumbass retarded.,0,0,0,1,1,0,0,1,0,1,0,1,0,1,6,False
president trump rumored said thei countries including mexico nothing shitholes. @url,1,1,0,1,1,1,0,1,0,1,0,0,0,1,11,False
@user r u sayin mum looks like retard??? u wanna fuckin throw hands cunt???,1,0,0,0,1,0,0,0,1,1,0,0,0,1,14,False
casuallyfantastic2001: realisticrecovery: anyway abusive women bad abusive men. shameful... @url,1,1,0,1,1,1,0,1,0,0,0,1,0,0,10,False
@user kana ne ole le nigger,1,0,0,0,0,1,0,0,1,0,0,1,0,1,6,False
@user retard ,1,0,0,0,1,0,0,1,0,1,0,0,0,2,2,False
fucking hope chinks get raped fucking faggot exist 1-2 years _ chink\' @url,1,0,0,1,1,1,1,1,0,0,0,1,0,2,14,False
@user @user kind retarded comment that? people helicopter ground @url,1,0,1,0,1,1,1,1,0,1,0,0,1,1,10,False
@user @user @user grid shit guys retarded,1,1,0,1,1,1,0,1,0,1,0,0,0,1,7,False
retarded manager boone,1,0,1,0,1,1,1,1,0,1,0,0,0,1,3,False
shithole country. shithole country. shithole countries!,1,0,0,0,0,1,0,0,1,1,0,0,0,1,6,False
insane zack snyder hasnt died due mongoloid-related illness,0,0,0,1,1,0,0,1,0,1,0,0,0,1,9,False
oh mongoloid brigade come troll... #cpfc @url,1,0,1,0,1,1,1,1,0,0,1,0,0,1,7,False
@user one mongy,1,1,0,1,1,1,0,1,0,1,0,0,0,2,3,False
turning country state many european cities shithole ! @url,0,0,1,1,0,0,0,1,0,1,0,0,0,1,8,False
yakuza taught hate old men i\'m gonna kick shit next old fucker see he\'s probably cunt,1,1,0,1,1,1,0,0,1,1,0,1,0,0,18,False
@user @user praise ability refugees go back home. thats want. appears @url,1,0,1,1,1,0,1,1,0,1,0,0,0,1,12,False
@user read somewhere leftist mag terrorist events like breivik\'s massacre precede cultural sh @url,0,1,0,0,0,1,0,1,0,1,1,0,0,0,15,False
@user @user @user still need go back shithole countries helped @url,0,0,1,1,0,0,0,1,0,1,0,0,0,1,11,False
k-pop niggas like: *high pitched ching chong*,1,1,0,1,1,0,0,1,0,1,0,0,0,1,8,False
beyondbrandon really went live infront 2000 people lied called faggot top @url,0,0,1,1,0,0,0,1,0,1,0,0,1,2,12,False
retarded @url,0,0,1,1,0,0,0,1,0,1,0,0,0,1,2,False
want prove know big cunt be....shoot &amp; kill sleeping lion @url,1,1,1,0,1,1,0,1,0,0,1,0,0,1,12,False
@user @user quote okay white. got mad bc 1) co @url,1,0,1,1,1,0,1,1,0,1,1,1,1,1,11,False
ever bought entire costume one costume true faggot,0,0,0,0,1,1,0,1,0,1,0,0,0,1,8,False
@user (1) mongol. wrong nationalist ? nif people nationalist w @url,0,0,1,1,0,0,0,1,0,1,0,0,0,2,10,False
chuck person: eccojam a1 @url #opn #toto @url venue play africa toto @url,1,0,1,1,1,0,1,1,0,1,1,1,1,0,13,False
@user people said yes retarded,1,1,0,1,1,1,0,1,0,1,0,0,0,1,5,False
sissyslutfaggotbrendab: expose sissy #faggot #sissyexposure free to... @url,0,1,1,1,0,1,1,1,0,1,1,0,0,0,8,False
look hands shithole countries hands?,0,1,0,0,0,0,1,1,0,1,0,0,0,1,5,False
@user @user @user @user hell i\'d say enticed left come mongoloid droves excited protest destroy.,0,1,1,1,0,1,1,1,0,1,0,0,0,1,16,False
never let ching chong nails,0,1,0,0,0,0,1,1,0,0,1,0,0,1,5,False
kid would\'ve hated moved different part country adult can\'t wait get away shithole,1,1,0,1,1,1,0,1,0,0,1,0,0,0,15,False
@user mean every single comment faggot faggot that. saying thats lot time spent worrying anal,0,1,0,0,0,1,0,1,0,1,0,1,0,1,15,False
talking fact got 2018 retard iq 149 parents check sanity b @url,1,1,0,1,1,1,0,1,0,1,1,1,1,1,12,False
never go full retard @url,0,1,0,1,0,0,0,1,0,1,0,0,0,1,5,False
@user @user newly made shithole countries,0,0,0,1,0,1,0,1,0,1,0,0,0,1,6,False
@user @user @user @user deport raghead,0,1,1,1,0,1,1,1,0,0,0,1,0,2,6,False
cant believe fell love girl calls faggot ,0,1,0,1,0,0,0,1,0,0,1,1,0,1,7,False
@user tell called spic,0,1,1,1,0,1,1,1,0,0,0,1,0,1,4,False
i\'ll shake hands ever shoot cunt. @url,0,0,1,0,0,1,0,1,0,1,0,0,0,2,8,False
every nigger star,1,1,1,0,1,1,0,1,0,0,1,0,0,1,3,False
get paid young negro get paid,0,0,0,1,0,1,0,1,0,1,0,0,0,1,6,False
@user @user illegal aliens rights except return home,0,1,0,0,0,0,1,1,0,1,0,0,0,1,8,False
@user satanic sellout faggot .,0,1,1,1,0,1,1,1,0,1,0,0,0,1,4,False
@user @user call us latinx would much rather called spic beaner latinx.,0,0,0,1,0,1,0,1,0,1,0,0,0,1,12,False
@user represent club one bit piss weird cunt,0,1,1,1,0,1,1,1,0,1,0,0,0,1,8,False
ching chong chang im tired,0,1,1,0,1,1,1,1,0,1,1,0,0,1,5,False
@user @user opposed hillary? shirt lifting mongoloid,0,0,0,0,1,1,0,1,0,1,0,0,0,1,7,False
i\'m korean smurf ching chong sing wang su long @url,0,1,0,0,0,1,0,1,0,1,0,0,1,1,11,False
@user epitome cunt.,0,0,0,0,1,1,0,0,1,1,0,0,0,1,3,False
@user @user arab immigrants live gaza. palestine jewish state dimwit!,0,0,0,1,0,1,0,1,0,1,0,0,0,1,10,False
hazard literally scored hat trick team fucking retard @url,0,0,0,1,1,1,1,1,0,1,0,0,0,1,9,False
@user shut fuck fuckin\' furry faggot.,1,1,0,0,1,1,1,0,1,1,0,1,0,1,6,False
retard @user @url,0,0,0,1,1,1,1,1,0,1,0,0,0,1,3,False
@user @user im venturing guess lefty feminazi man haters....cant get men. hence unhinged @url,0,0,0,0,1,1,0,1,0,1,0,0,0,1,15,False
@user watching shitty tiktok retarded overwatch song wanna die watching brb,0,1,0,0,0,1,0,1,0,0,1,0,0,1,11,False
@user think weekend wont nigger,0,0,0,0,1,1,0,1,0,1,0,0,0,1,5,False
@user we\'re listening #santanaworld whole ride get ready channel inner nigger.,0,1,0,0,0,1,0,1,0,1,0,0,0,2,12,False
faggot...i forget,1,1,0,0,1,1,1,1,0,1,0,1,1,1,3,False
u wear sperrys fucking faggot sorry buddy,1,1,0,0,0,0,0,1,0,1,0,0,0,1,7,False
oh wow definitely know tried fuck bitch outed me. happy tea time cunt. (;,1,1,1,0,1,1,0,1,0,0,1,0,0,1,13,False
@user especially mongy today honestly,1,0,0,0,0,1,0,1,0,1,0,0,0,1,5,False
im longer crying would like say wordsnnfuck shithole countrynfuck \'elite\' univer @url,0,1,0,1,0,0,0,1,0,0,1,0,0,1,12,False
@user love tell admire doing. volunteer work syrian refugees @url,1,1,1,0,1,1,0,1,0,0,1,0,0,1,10,False
fuck game gay retarded,1,1,1,0,1,1,0,1,0,1,0,1,1,1,4,False
@user @user @user yes i\'m easy toy turkey eating retard can\'t stop replying lmao,0,0,0,0,1,1,0,1,0,1,0,1,0,1,16,False
@user @user one close ones umbrella twat!,1,1,1,0,1,1,0,1,0,1,0,0,0,0,7,False
@user @user turn around march illegal aliens butts back mexico...,0,1,0,0,0,1,0,1,0,1,0,0,0,1,10,False
@user one gives crap raghead!!,1,1,1,0,1,1,0,1,0,1,0,0,0,1,5,False
@user retard,1,1,1,0,1,1,0,1,0,1,0,0,0,1,2,False
@user get offended much. i\'m hispanic called spic called mexican even tho i\'m cuban. @url,1,1,1,0,1,1,0,0,1,0,1,0,0,2,17,False
every american person undocumented immigrants get free hell going gover @url,1,1,0,1,1,1,0,1,0,1,0,0,0,1,11,False
@user ching chong wing wong,0,0,0,0,1,1,0,0,1,1,0,0,0,1,5,False
@user talk fun looked real note tho,1,1,1,0,1,1,0,1,0,1,0,0,0,0,7,False
he\'s disgusting. fucking gross. hair always looks like shit twat waffle. @url,0,1,0,0,0,1,0,1,0,1,0,0,0,1,13,False
@user already said ok mongoloid,1,1,1,0,0,1,1,1,0,1,0,0,0,2,5,False
sarah silverman gone full retard\'n @url,1,0,0,1,1,1,1,1,0,1,1,1,1,2,7,False
@user say faggot dyke ? i\'m mad,0,1,0,1,1,1,1,1,0,1,0,0,0,1,7,False
armys: racist nigger.,0,0,0,1,0,0,1,1,0,1,0,0,0,1,3,False
@user like kris commons soup taker ,1,0,0,0,1,0,0,1,0,0,1,0,0,1,6,False
@user @user this.n60s peace love soibois want gooky dooky ching chong chinamen die th @url,0,1,0,1,0,0,0,1,0,1,0,0,0,2,16,False
@user wait ching chong named doyoung uwu,0,1,0,1,1,1,1,1,0,1,0,0,1,1,7,False
@user rats bring disease must eradicated,1,1,1,0,1,1,0,1,0,0,1,0,0,0,6,False
@user nigger,1,1,0,0,0,0,0,1,0,1,0,1,0,1,2,False
nigga ching chong racist man,0,1,0,0,1,0,0,0,1,1,0,0,0,1,5,False
@user shut mongoloid,0,1,0,0,0,1,0,1,0,1,0,0,0,2,3,False
america shithole country @url,1,1,1,0,1,1,0,1,0,1,0,0,0,3,4,False
n according studies n huge cunt,0,1,0,1,0,0,0,1,0,1,0,0,0,2,6,False
odell better wr hopkins mongoloid qb holding back production.,0,1,1,1,1,1,0,1,0,0,1,0,0,0,9,False
@user hey nigger lover whats up@user,0,0,0,1,1,0,0,0,1,1,0,1,0,1,7,False
@user spent 2 yrs australia. yelled go back country spit walking str @url,1,1,0,0,1,1,1,1,0,1,0,0,0,2,13,False
@user @user ok retard,0,0,0,1,1,0,0,1,0,1,0,0,0,1,4,False
robert bowers muslim mexican media leftist woman refugee?nwaiting..............................,1,0,0,0,0,1,0,1,0,0,0,1,1,2,9,False
ill call you: dyke faggot bitch nigger wetback pu$$y want.,0,1,0,1,1,1,1,1,0,1,0,0,0,2,11,False
well guess nigger cops already way @url,0,1,0,0,1,0,0,0,1,0,1,0,0,1,7,False
@user lol u mean ching chong guy? rich dude china suddenly comes campus ?,0,1,0,1,1,1,1,1,0,1,0,1,1,2,13,False
 trump definitely retarded,0,1,0,1,0,0,0,1,0,1,0,1,0,1,3,False
panthers suck spic ass,0,0,0,1,1,0,0,1,0,1,0,0,0,1,4,False
honestly can\'t believe ed confirmed three latin american countries lil shithole one i\'m used ignored,1,1,1,0,1,1,0,1,0,0,1,0,0,1,17,False
follow retweet win nothing faggot,1,0,1,0,1,1,1,1,0,1,1,1,1,1,5,False
@user boring twat mosso,0,0,0,1,1,0,0,1,0,0,1,0,0,0,4,False
they\'re retarded hedonists. next! @url,1,0,1,1,1,1,0,1,0,0,1,0,0,1,6,False
@user see type nigger hmph,1,1,0,1,1,1,0,1,0,1,0,0,0,1,5,False
hahaha justin retarded hobbitni mean thinking it... n#theendless #frightclub,0,0,0,0,0,1,1,0,1,0,0,1,0,1,10,False
||: ain\'t even hour ready get faggot killed,0,1,0,1,0,0,0,1,0,1,0,0,0,1,8,False
@user 50s  @url,0,1,0,0,1,0,0,1,0,1,1,1,0,1,3,False
hey gay twitteri honestly would prefer big cocksto fill tight faggot ass settle fo @url,0,0,0,0,0,1,1,1,0,1,0,0,0,2,15,False
watch twat..... @url,1,0,1,0,0,0,0,1,0,1,0,0,0,1,3,False
roberts retarded,0,1,0,0,0,1,0,1,0,1,0,0,0,1,2,False
@user i\'m retarded hf w mean?,1,0,0,1,0,0,0,1,0,1,0,0,0,1,7,False
@user @url lmao dieser sub retarded,0,0,1,0,0,1,0,1,0,1,0,0,0,1,6,False
kubica misses seat bellend i\'m gunna seriously questioning much retard claire willi @url,0,0,0,0,0,1,1,1,0,1,0,0,0,1,14,False
@user @user =\'shithole x countriesn= rapists bad hombresn=\'sleepy eyed( jewish) opponentsn= @url,0,0,0,0,0,1,1,1,0,1,0,0,0,1,13,False
i\'m twat i\'m drunk allowed alcohol,0,1,0,0,0,1,0,1,0,1,0,0,0,2,8,False
that\'s right illegals! head home whatever shithole came from!nnyou get waltz expo @url,1,1,0,1,1,1,0,0,1,0,1,0,0,1,15,False
@user typical liberals party tolerance women blacks illegal aliens whateve @url,0,0,0,0,1,1,0,1,0,1,0,1,0,0,11,False
encourage y\'all work yourselves. cause guy retarded bad things anytime wishes.,1,1,1,1,0,1,0,1,0,0,0,1,0,2,12,False
hate break america president retarded. #pittsburgh @url,1,1,1,1,0,1,0,1,0,0,0,0,1,1,7,False
@user vote. fraud though. copying shithole countries hear about.,0,1,0,1,0,0,0,1,0,1,0,0,0,1,9,False
he\'s stupid rich &amp; retarded money! @url,0,1,0,0,0,1,0,1,0,1,0,0,0,1,8,False
we\'ve made mistakes continue making mistake plain retarded...,1,1,1,1,0,1,0,1,0,1,0,0,0,1,9,False
fucking retard lemme tell ya  @url,0,1,0,0,0,1,0,1,0,1,0,0,0,1,6,False
@user @user @user @user talking tye mongoloid,1,1,1,1,0,1,0,1,0,1,0,0,0,1,7,False
wish twat people i\'m hungover like dumbass bitch fault,1,1,0,0,0,0,0,1,0,1,0,0,0,1,10,False
@user praise rn (right now) libtard (liberal retard),0,1,0,0,0,1,0,1,0,1,0,0,0,0,8,False
@user @user got nothing raghead.,0,1,0,0,0,1,0,1,0,1,1,0,0,0,5,False
pauline hanson move senate motion declaring \'okay white\' @url,0,0,0,1,0,1,0,1,0,1,0,0,0,1,9,False
@user i\'m conspiracy theorist think leftist media make certain ver @url,0,0,1,1,0,0,0,1,0,0,0,0,1,0,12,False
@user think twat  @url,0,0,0,0,1,1,0,1,0,1,1,1,0,1,4,False
apple fuckin retarded bank america mobile,0,0,1,1,0,0,0,1,0,1,0,0,0,1,6,False
@user developing countries still classified retard,0,0,1,1,0,0,0,1,0,1,0,0,0,1,6,False
@user @user @user id rather listen ching chong music tbh u,0,0,1,1,1,1,1,1,0,1,0,0,0,1,11,False
@user @user would finance revolution south africa country already shithole?,0,1,0,1,0,0,0,1,0,1,0,0,0,2,10,False
even uses word \'faggot\' now? like hell? time update vocabulary.,0,0,1,0,0,1,0,1,0,1,0,0,0,0,10,False
@user @user american innocent proven guilty. let illegal immigrants go @url,0,0,0,1,0,1,0,1,0,1,0,0,0,1,11,False
hey john. what\'s guchhi mah nigger?,0,0,0,0,1,1,0,1,0,1,0,0,0,1,7,False
sam allardyce twat @url,0,0,0,1,0,1,0,1,0,1,1,0,0,0,4,False
remember ching chong hoe flexin years ago found fuckin smh,0,1,1,0,0,0,0,1,0,1,0,0,0,2,10,False
@user cunt watches anymore anyway gone utter shite.,0,0,0,1,0,1,0,1,0,1,0,0,0,1,8,False
brother nature ain\'t black huh? spic y\'all right? ain\'t trying hold dominirican homie,0,1,0,1,0,0,0,1,0,1,1,0,1,2,16,False
wonder i\'ll ever stop mongy cunt,1,0,0,0,0,1,0,1,0,1,0,1,0,1,7,False
i\'m retard?,0,0,0,1,1,0,0,1,0,1,0,0,0,1,3,False
@user laura callinf nigger come bully,1,1,0,0,0,0,0,1,0,1,0,0,0,1,6,False
took 4 years accusations seriously get lot cold faggot,1,1,0,0,0,0,0,0,1,1,0,0,0,0,9,False
look like negro league pitcher @url,0,0,0,1,1,0,0,1,0,1,0,0,0,2,6,False
manny machado chapped cunt...,1,1,0,0,1,1,1,1,0,0,1,0,0,1,4,False
@user forgot say confuses slay queens whether stay nigger mulla stic @url,1,1,0,0,0,0,0,1,0,1,0,0,0,1,12,False
ice arrested undocumented immigrants came forward take undocumented children @user @url,0,1,0,1,1,1,1,1,0,1,1,1,1,0,11,False
opening can\'t broken feels like negro spiritual revival. track gritty rough yet operates @url,1,1,0,0,0,0,0,1,0,1,0,0,0,1,15,False
mark wilson clyde talking like total soup-taker regarding aberdeen fans tickets shame wilso @url,0,1,0,1,1,1,1,1,0,0,1,0,0,0,15,False
wide open layup went retarded passed away @url,0,1,1,1,0,1,1,1,0,1,0,0,0,1,8,False
chinaman issue dude!,1,1,1,0,0,1,1,1,0,1,0,0,0,1,3,False
follow pumpkin spic latte walk around block!,1,0,1,1,0,1,1,1,0,1,0,0,0,0,7,False
@user know word created order reclaim power called nigger right? ho @url,1,1,1,1,1,0,0,1,0,1,0,0,0,2,12,False
@user ask qualify shithole countries - including uk: despite brexit @url,1,1,1,0,1,0,1,1,0,0,1,0,1,1,10,False
@user seriously. kavvanaughs accuser arrested taken mexico alongside illegal aliens mexi @url,0,1,0,0,1,0,0,1,0,1,0,1,0,1,12,False
@user never said dyke,0,1,1,1,0,1,1,0,1,1,0,1,0,2,4,False
mpu general studies retarded module ever exist like even compulsory,0,0,1,1,0,0,0,1,0,0,1,0,0,0,10,False
support illegal aliens. enticing violence opposition (republicans).yo @url,0,0,1,0,0,1,0,1,0,1,0,0,0,2,9,False
@user mom wont say spic say nigga love problematic afrolatinx queen,1,0,0,0,0,1,0,1,0,1,0,1,0,1,11,False
@user we\'re shithole country!,0,1,0,0,0,1,0,1,0,1,0,0,0,1,5,False
@user diverse translation many soy-boys tired paying ca taxes became refugees tx. @url,0,1,0,0,0,1,0,1,0,1,0,0,0,2,14,False
@user lmaoooo idk man crazy negro,0,0,1,0,0,1,0,1,0,1,0,0,0,1,6,False
@user @user @user @user twat.,0,0,1,0,0,1,0,1,0,1,0,1,0,1,5,False
dave roberts brought us back back world series. acted like absolute retard tonight fire him.,0,0,0,0,1,0,1,1,0,0,1,0,0,0,15,False
attacked raped immigrants eur,0,0,0,1,0,1,0,1,0,1,0,0,0,1,4,False
@user dumb macaron worry making france livable country shithole becom @url,1,0,0,0,1,0,0,1,0,1,0,0,0,1,11,False
@user can\'t read ching chong language!,0,1,0,0,1,0,0,1,0,1,0,0,0,2,7,False
found rocket league stop ball hungry retard ty,0,0,0,1,0,1,0,1,0,1,0,1,0,1,8,False
recall democrats saying shithole countries exist. yet thousands people proving wrong. @url,0,0,1,0,1,0,0,1,0,1,0,0,0,1,12,False
unless muslim mexican shithole country.nntrumpian hypocrisy unparalleled knows bou @url,1,1,0,1,1,1,0,1,0,1,0,1,0,1,11,False
retarded honor @url,0,1,0,1,1,1,1,1,0,0,0,1,0,0,3,False
@user listen cat soup @url,0,1,0,1,1,1,1,1,0,1,0,0,0,0,5,False
#staranurag @user @url,0,0,0,1,0,1,0,1,0,0,1,0,0,0,3,False
2017: dare call shithole countries! look beautiful (in vacation resort).nn2018: loo @url,0,0,0,1,0,1,0,1,0,0,1,0,0,1,13,False
faggot got crucified,0,0,1,1,1,1,1,1,0,1,0,0,0,1,3,False
@user @user @user @user sadly yes goes like ching chong wang wong,0,1,0,1,1,1,1,1,0,1,0,0,0,2,12,False
illegal immigrants could big trouble.,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,False
legit annoying often explain retard never play hots holy shit,0,0,1,0,0,1,0,1,0,1,0,0,0,1,10,False
difference principled conservatives power-hungry leftists: every conservative wants sayoc prison @url,0,0,1,0,0,1,0,1,0,0,1,0,1,1,12,False
@user @user kavanaugh family 24/7 secret service protection! dr. ford security +had f @url,0,0,1,0,0,1,0,1,0,0,1,0,0,0,15,False
retarded. know make people stupid. might want kill drop collec @url,0,1,0,1,1,1,1,1,0,0,0,1,0,1,11,False
pretty sure got called faggot frat boy game okay bc another frat boy like hey 20 @url,0,1,1,0,0,0,0,1,0,1,0,0,0,1,17,False
cause money connects mean guilty trick ass bitch. become cunt n @url,0,1,1,1,1,1,0,1,0,0,1,0,0,1,12,False
@user get dyke screen,0,1,0,0,0,1,0,1,0,1,0,0,0,1,4,False
@user hes literal twat hey? tried justify twitter toonthis guy went twitchcon @url,0,1,0,0,0,1,0,1,0,0,0,1,0,1,13,False
@user @user leftist terrorist forgot obliterate guy\'s social media accounts like @url,1,1,0,0,0,0,0,1,0,1,0,0,0,1,13,False
remind time homegirl dating dyke neither one could open jar jelly lmao  @url,0,0,1,0,1,0,0,1,0,1,0,0,1,2,13,False
could go one #shithole countries right?nyeah alabama. rikers middle fina @url,0,1,0,0,0,1,0,1,0,0,1,0,0,2,12,False
retarded. ya idaho,0,0,0,1,1,0,0,1,0,0,1,0,0,2,3,False
guys @user lecturing us acute body types skull shapes....mongoloid?!?!? like shut f bro!!!,0,1,0,0,0,1,0,1,0,1,0,1,0,1,14,False
@user die retard,1,1,0,0,0,0,0,1,0,0,0,1,0,2,3,False
@user @user @user ah eso parecia ching chong,1,0,0,0,0,1,0,1,0,1,0,0,0,2,8,False
there\'s fucking stupid little brat village drives around like twat dangerously pulls parking @url,0,1,0,0,0,1,0,1,0,0,0,1,0,1,15,False
@user @user @user @user @user someone retweets jokes calling sad twat ,1,1,0,0,0,0,0,1,0,1,0,0,0,1,11,False
miko heartless cunt. doubt people band together get removed social platform.  @url,0,1,0,0,0,1,0,1,0,1,0,0,0,0,12,False
stay put shithole country fiercely fighting for!!!! @url,1,0,0,0,1,0,0,1,0,1,0,0,0,1,8,False
@user @user @user @user @user actually. they\'re mongoloid i\'m pretty sure. @url,1,1,0,0,0,0,0,1,0,1,0,0,0,2,14,False
fun ways use fruit roll favorite dyke? think busting gusher.. nvm,1,1,0,0,0,0,0,1,0,1,0,0,0,1,11,False
shithole shithole other\'s countries question @url,1,0,1,1,0,1,1,1,0,1,1,1,1,1,7,False
@user @user current crop conservatard mongoloid pundits really good role models.,1,1,0,0,0,0,0,1,0,1,0,0,0,1,11,False
race social construct leftists anti-whites always attacking white people white values @url,0,1,0,0,1,0,0,1,0,1,1,1,1,1,13,False
@user @user @user @user country shithole. imagine @url,0,1,0,0,0,1,0,1,0,1,0,0,0,1,8,False
amen! feminazi man-eaters evil curse! @url,0,1,0,0,1,0,0,1,0,1,0,1,0,1,7,False
dumb fucks leave facts mongoloid race came north america thousands years. b @url,1,0,0,1,1,1,1,1,0,0,1,0,0,2,13,False
god machado twat,0,1,0,0,1,0,0,1,0,0,1,0,0,0,3,False
@user retarded laughed,1,1,0,0,0,0,0,1,0,1,0,0,0,1,3,False
- yeah im bad person. feminazi monster - doesnt negate facts.,0,1,0,0,0,1,0,1,0,1,0,0,0,1,9,False
*stares nigger* @url,0,0,0,1,1,0,0,1,0,1,0,0,0,1,3,False
green version mix 3 intensify ching chong ness. green jade chinese bling dawg,1,0,0,1,0,0,0,1,0,1,0,0,0,1,13,False
@user @user yeah sat front retard,1,1,0,0,0,0,0,1,0,1,0,0,0,1,6,False
actually ties nigger tbh,0,1,0,1,1,1,0,0,1,1,1,0,1,2,4,False
bad calling spas mongol. offensive many levels @url,0,0,0,1,0,0,1,1,0,1,0,0,1,1,8,False
ching chong china ching chong best,0,1,1,0,0,0,0,1,0,0,1,0,0,1,6,False
thank god retard spewing anti trump rhetoric. need internet coo days tbh.,1,1,0,0,0,0,0,1,0,1,0,0,0,1,12,False
retarded make past brain censors,1,0,0,1,0,0,0,1,0,1,0,1,1,2,5,False
celebrating #entrepreneurship @user last night prix inspiration ontario gala #entrepreneur #immigrants @url,1,1,0,1,1,0,1,1,0,0,1,0,0,2,12,False
@user deleting past posts since 2001 use term raghead towel head camel fucker @url,1,1,0,0,0,0,0,1,0,0,0,1,0,1,14,False
machados fucking twat.,0,1,0,1,1,1,1,1,0,1,0,0,0,1,3,False
@user @user unlike previous regime ran punjab like mongol halaku khan....,0,1,0,1,1,1,1,1,0,1,0,0,0,1,11,False
@user yes retarded,0,1,0,0,1,0,0,0,1,1,0,0,0,1,3,False
guess make mongoloid version tmnt nso one would offended #trashanimation #riseofthetmnt,0,1,0,0,0,1,0,1,0,1,0,0,0,1,11,False
@user tbf can\'t think anything worse singing outside pub bunch mongy south wallians @url,0,1,0,0,0,1,0,1,0,1,0,1,0,2,15,False
@user fecking retard,0,1,0,0,0,1,0,0,1,1,0,1,0,1,3,False
@user bomber leftist: see left violent false flagnthe bomber maga chud: actu @url,1,1,0,1,1,1,0,1,0,1,0,0,0,0,13,False
@user need find girlfriend time miserable cunt world,0,1,0,0,0,1,0,0,1,1,0,0,0,1,8,False
@user @user officers warrant arrest son. get facts straight raghead.,0,0,0,1,1,0,0,0,1,1,0,0,0,1,10,False
always asians model typical old types mongoloid idk like evolution human ? @url,0,1,1,1,1,1,0,1,0,1,0,0,0,2,12,False
@user @user nope. use mongoloid there. solitary go. know that. wor @url,1,0,1,1,1,1,0,1,0,1,0,1,0,1,12,False
@user @user ok retard idiot,1,1,0,1,1,1,0,0,1,1,0,0,0,1,5,False
@user @user @user daft lad mongy mate,0,1,0,0,0,1,0,1,0,1,0,1,0,1,7,False
#funfactnyou faggot,0,1,0,0,0,1,0,1,0,1,0,0,0,1,2,False
somebody teach retarded ass apply falsies,1,1,0,1,1,1,0,1,0,0,0,0,1,1,6,False
goal today get house spic n span,0,1,0,1,1,1,1,1,0,0,1,0,0,1,7,False
*speaks ching chong ko @url,0,1,1,1,0,1,1,1,0,1,0,0,0,1,5,False
i\'m dyke successfully got cruised,0,1,0,1,0,0,0,1,0,1,0,0,0,0,6,False
that\'s clue faggot ass...,0,1,0,1,0,0,0,1,0,1,0,0,0,2,5,False
@user @user defend someone kenya high that\'s kenya shithole country,1,0,1,1,0,1,1,1,0,1,0,0,0,1,11,False
@user yall gettin mad laugh asian jokes time. hear yall goin ching chong @url,0,1,0,0,0,1,0,1,0,1,0,0,0,2,14,False
hes another nigger smh @url,1,1,1,1,1,0,0,1,0,0,1,0,0,1,5,False
@user shoulda texted faggot,0,1,0,1,0,0,0,0,1,1,0,0,0,1,4,False
@user trailer trash tammy keeping real republicunts.,0,0,0,0,1,1,0,1,0,1,0,0,0,0,7,False
also joo - saying (it\'s okay white) promotes --&gt;white&lt;-- supremacy.,1,1,1,1,1,0,0,1,0,0,0,1,0,1,12,False
@user @user ukranians refugees. migrant workers.,0,0,1,0,1,0,0,1,0,1,1,0,0,1,6,False
@user fuck dumb cunt,0,1,0,1,0,0,0,0,1,1,0,0,0,1,4,False
bruh..these kids grown ass white dudes said cheating ass lag switching faggot nigger xbox w @url,1,1,1,1,1,0,0,1,0,1,0,0,0,2,17,False
someone pls tell 12 year old called ching chong bitch today looked funny wearing grill. hate sb much,1,1,0,1,0,1,1,1,0,0,1,0,0,1,18,False
@user went full retard man,1,0,1,0,1,1,0,1,0,1,0,0,0,1,5,False
lmfao deserve. youre supposed man. toughen nigger. @url,1,0,1,0,1,1,0,1,0,0,0,1,0,1,8,False
lmao girl job today said loves sass. please call faggot,1,1,0,1,1,1,0,1,0,1,0,0,0,1,10,False
yeah can\'t careful. know people shithole countries mi @url,0,1,0,1,0,0,0,1,0,1,0,0,0,2,10,False
cuban immigrant shithole country? cesar sayoc,0,1,0,0,0,1,0,1,0,1,0,0,0,1,6,False
@user dyke ima stud,1,1,0,1,0,1,1,1,0,1,0,0,0,1,4,False
fun fact: give person full claim call beaner spic wetback call anyone slur equates @url,0,0,0,1,1,1,1,1,0,1,0,0,0,1,15,False
@user please start fire luke campaign cause kinda retarded. rondo finishing @url,1,1,0,1,1,1,0,1,0,1,0,0,0,1,12,False
love mexican call mexicans spic,1,1,0,1,1,1,0,1,0,1,1,0,0,2,5,False
fucking time twat,0,0,0,1,0,1,0,1,0,1,0,0,0,2,3,False
nowthe people shithole #muslim countries problem #us fine people @url,1,1,0,1,1,1,0,1,0,0,0,1,0,1,10,False
@user get $2s faggot,0,0,0,1,1,1,1,0,1,1,0,0,0,1,4,False
@user @user @user grown ups show faces use thea names.mongoloid,0,0,0,0,1,1,0,1,0,1,0,0,0,1,11,False
@user retard,0,0,0,0,1,1,0,1,0,1,0,0,0,1,2,False
